# Source: https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
# Extracted from the public HTML wordlist page; duplicate parts of speech are deduplicated to the lowest CEFR level.
# Input SHA-256: 74b471082c6b02ce3bf51e662c4b63a86905d1f4e2d6eed0db480b8e705d0b26
word,cefr,oxford3000,oxford5000
roof,a2,a2,a2
room,a1,a1,a1
root,b2,b2,b2
rope,b1,b1,b1
rough,b1,b1,b1
round,a2,a2,a2
route,a2,a2,a2
routine,a1,a1,a1
row,b1,b1,b1
royal,b1,b1,b1
rub,b2,b2,b2
rubber,b2,b2,b2
rubbish,a2,a2,a2
rude,a2,a2,a2
rugby,b1,b1,b1
rule,a1,a1,a1
run,a1,a1,a1
runner,a2,a2,a2
running,a2,a2,a2
rural,b2,b2,b2
rush,b2,b2,b2
sad,a1,a1,a1
sadly,a2,a2,a2
safe,a2,a2,a2
safety,b1,b1,b1
sail,a2,a2,a2
sailing,a2,a2,a2
sailor,b1,b1,b1
salad,a1,a1,a1
salary,a2,a2,a2
sale,a2,a2,a2
salt,a1,a1,a1
same,a1,a1,a1
sample,b1,b1,b1
sand,b1,b1,b1
sandwich,a1,a1,a1
satellite,b2,b2,b2
satisfied,b2,b2,b2
satisfy,b2,b2,b2
saturday,a1,a1,a1
sauce,a2,a2,a2
save,a2,a2,a2
saving,b2,b2,b2
say,a1,a1,a1
scale,b2,b2,b2
scan,b1,b1,b1
scared,a2,a2,a2
scary,a2,a2,a2
scene,a2,a2,a2
schedule,a2,a2,a2
scheme,b2,b2,b2
school,a1,a1,a1
science,a1,a1,a1
scientific,b1,b1,b1
scientist,a1,a1,a1
score,a2,a2,a2
scream,b2,b2,b2
screen,a2,a2,a2
script,b1,b1,b1
sculpture,b1,b1,b1
sea,a1,a1,a1
search,a2,a2,a2
season,a2,a2,a2
seat,a2,a2,a2
second,a1,a1,a1
secondary,b1,b1,b1
secondly,a2,a2,a2
secret,a2,a2,a2
secretary,a2,a2,a2
section,a1,a1,a1
sector,b2,b2,b2
secure,b2,b2,b2
security,b1,b1,b1
see,a1,a1,a1
seed,b1,b1,b1
seek,b2,b2,b2
seem,a2,a2,a2
select,b2,b2,b2
selection,b2,b2,b2
self,b2,b2,b2
sell,a1,a1,a1
send,a1,a1,a1
senior,b2,b2,b2
sense,a2,a2,a2
sensible,b1,b1,b1
sensitive,b2,b2,b2
sentence,a1,a1,a1
separate,a2,a2,a2
september,a1,a1,a1
sequence,b2,b2,b2
series,a2,a2,a2
serious,a2,a2,a2
seriously,b1,b1,b1
servant,b1,b1,b1
serve,a2,a2,a2
service,a2,a2,a2
session,b2,b2,b2
set,b1,b1,b1
setting,b1,b1,b1
settle,b2,b2,b2
seven,a1,a1,a1
seventeen,a1,a1,a1
seventy,a1,a1,a1
several,a2,a2,a2
severe,b2,b2,b2
sex,b1,b1,b1
sexual,b1,b1,b1
shade,b2,b2,b2
shadow,b2,b2,b2
shake,a2,a2,a2
shall,a2,a2,a2
shallow,b2,b2,b2
shame,b2,b2,b2
shape,a2,a2,a2
share,a1,a1,a1
sharp,b1,b1,b1
she,a1,a1,a1
sheep,a1,a1,a1
sheet,a2,a2,a2
shelf,b1,b1,b1
shell,b1,b1,b1
shelter,b2,b2,b2
shift,b1,b1,b1
shine,b1,b1,b1
shiny,b1,b1,b1
ship,a2,a2,a2
shirt,a1,a1,a1
shock,b2,b2,b2
shocked,b2,b2,b2
shoe,a1,a1,a1
shoot,b1,b1,b1
shooting,b2,b2,b2
shop,a1,a1,a1
shopping,a1,a1,a1
short,a1,a1,a1
shot,b2,b2,b2
should,a1,a1,a1
shoulder,a2,a2,a2
shout,a2,a2,a2
show,a1,a1,a1
shower,a1,a1,a1
shut,a2,a2,a2
shy,b1,b1,b1
sick,a1,a1,a1
side,a2,a2,a2
sight,b1,b1,b1
sign,a2,a2,a2
signal,b1,b1,b1
significant,b2,b2,b2
significantly,b2,b2,b2
silence,b2,b2,b2
silent,b1,b1,b1
silk,b2,b2,b2
silly,b1,b1,b1
silver,a2,a2,a2
similar,a1,a1,a1
similarity,b1,b1,b1
similarly,b1,b1,b1
simple,a2,a2,a2
simply,b1,b1,b1
since,a2,a2,a2
sincere,b2,b2,b2
sing,a1,a1,a1
singer,a1,a1,a1
singing,a2,a2,a2
single,a2,a2,a2
sink,b1,b1,b1
sir,a2,a2,a2
sister,a1,a1,a1
sit,a1,a1,a1
site,a2,a2,a2
situation,a1,a1,a1
six,a1,a1,a1
sixteen,a1,a1,a1
sixty,a1,a1,a1
size,a2,a2,a2
ski,a2,a2,a2
skiing,a2,a2,a2
skill,a1,a1,a1
skin,a2,a2,a2
skirt,a1,a1,a1
sky,a2,a2,a2
slave,b2,b2,b2
sleep,a1,a1,a1
slice,b1,b1,b1
slide,b2,b2,b2
slight,b2,b2,b2
slightly,b1,b1,b1
slip,b2,b2,b2
slope,b2,b2,b2
slow,a1,a1,a1
slowly,a2,a2,a2
small,a1,a1,a1
smart,b1,b1,b1
smartphone,a2,a2,a2
smell,a2,a2,a2
smile,a2,a2,a2
smoke,a2,a2,a2
smoking,a2,a2,a2
smooth,b1,b1,b1
snake,a1,a1,a1
snow,a1,a1,a1
so,a1,a1,a1
soap,a2,a2,a2
soccer,a2,a2,a2
social,a2,a2,a2
society,a2,a2,a2
sock,a2,a2,a2
soft,a2,a2,a2
software,b1,b1,b1
soil,b1,b1,b1
solar,b2,b2,b2
soldier,a2,a2,a2
solid,b1,b1,b1
solution,a2,a2,a2
solve,a2,a2,a2
some,a1,a1,a1
somebody,a1,a1,a1
someone,a1,a1,a1
something,a1,a1,a1
sometimes,a1,a1,a1
somewhat,b2,b2,b2
somewhere,a2,a2,a2
son,a1,a1,a1
song,a1,a1,a1
soon,a1,a1,a1
sorry,a1,a1,a1
sort,a2,a2,a2
soul,b2,b2,b2
sound,a1,a1,a1
soup,a1,a1,a1
source,a2,a2,a2
south,a1,a1,a1
southern,b1,b1,b1
space,a1,a1,a1
speak,a1,a1,a1
speaker,a2,a2,a2
special,a1,a1,a1
specialist,b2,b2,b2
species,b2,b2,b2
specific,a2,a2,a2
specifically,b1,b1,b1
speech,a2,a2,a2
speed,a2,a2,a2
spell,a1,a1,a1
spelling,a1,a1,a1
spend,a1,a1,a1
spending,b1,b1,b1
spicy,b1,b1,b1
spider,a2,a2,a2
spirit,b1,b1,b1
spiritual,b2,b2,b2
split,b2,b2,b2
spoken,b1,b1,b1
sponsor,b2,b2,b2
spoon,a2,a2,a2
sport,a1,a1,a1
spot,b1,b1,b1
spread,b1,b1,b1
spring,a1,a1,a1
square,a2,a2,a2
stable,b2,b2,b2
stadium,b1,b1,b1
staff,b1,b1,b1
stage,a2,a2,a2
stair,a2,a2,a2
stamp,a2,a2,a2
stand,a1,a1,a1
standard,b1,b1,b1
star,a1,a1,a1
stare,b2,b2,b2
start,a1,a1,a1
state,a2,a2,a2
statement,a1,a1,a1
station,a1,a1,a1
statistic,b1,b1,b1
statue,b1,b1,b1
status,b2,b2,b2
stay,a1,a1,a1
steady,b2,b2,b2
steal,a2,a2,a2
steel,b2,b2,b2
steep,b2,b2,b2
step,a2,a2,a2
stick,b1,b1,b1
sticky,b2,b2,b2
stiff,b2,b2,b2
still,a1,a1,a1
stock,b2,b2,b2
stomach,a2,a2,a2
stone,a2,a2,a2
stop,a1,a1,a1
store,a2,a2,a2
storm,a2,a2,a2
story,a1,a1,a1
straight,a2,a2,a2
strange,a2,a2,a2
stranger,b1,b1,b1
strategy,a2,a2,a2
stream,b2,b2,b2
street,a1,a1,a1
strength,b1,b1,b1
stress,a2,a2,a2
stretch,b2,b2,b2
strict,b2,b2,b2
strike,b2,b2,b2
string,b1,b1,b1
strong,a1,a1,a1
strongly,b1,b1,b1
structure,a2,a2,a2
struggle,b2,b2,b2
student,a1,a1,a1
studio,b1,b1,b1
study,a1,a1,a1
stuff,b1,b1,b1
stupid,a2,a2,a2
style,a1,a1,a1
subject,a1,a1,a1
submit,b2,b2,b2
substance,b1,b1,b1
succeed,a2,a2,a2
success,a1,a1,a1
successful,a2,a2,a2
successfully,b1,b1,b1
such,a2,a2,a2
sudden,b1,b1,b1
suddenly,a2,a2,a2
suffer,b1,b1,b1
sugar,a1,a1,a1
suggest,a2,a2,a2
suggestion,a2,a2,a2
suit,a2,a2,a2
suitable,b1,b1,b1
sum,b2,b2,b2
summarize,b1,b1,b1
summary,b1,b1,b1
summer,a1,a1,a1
sun,a1,a1,a1
sunday,a1,a1,a1
supermarket,a1,a1,a1
supply,b1,b1,b1
support,a2,a2,a2
supporter,b1,b1,b1
suppose,a2,a2,a2
sure,a1,a1,a1
surely,b1,b1,b1
surface,b1,b1,b1
surgery,b2,b2,b2
surprise,a2,a2,a2
surprised,a2,a2,a2
surprising,a2,a2,a2
surround,b2,b2,b2
surrounding,b2,b2,b2
survey,a2,a2,a2
survive,b1,b1,b1
suspect,b2,b2,b2
swear,b2,b2,b2
sweater,a1,a1,a1
sweep,b2,b2,b2
sweet,a2,a2,a2
swim,a1,a1,a1
swimming,a1,a1,a1
switch,b1,b1,b1
symbol,a2,a2,a2
sympathy,b2,b2,b2
symptom,b1,b1,b1
system,a2,a2,a2
t shirt,a1,a1,a1
table,a1,a1,a1
tablet,a2,a2,a2
tail,b1,b1,b1
take,a1,a1,a1
tale,b2,b2,b2
talent,b1,b1,b1
talented,b1,b1,b1
talk,a1,a1,a1
tall,a1,a1,a1
tank,b2,b2,b2
tape,b1,b1,b1
target,a2,a2,a2
task,a2,a2,a2
taste,a2,a2,a2
tax,b1,b1,b1
taxi,a1,a1,a1
tea,a1,a1,a1
teach,a1,a1,a1
teacher,a1,a1,a1
teaching,a2,a2,a2
team,a1,a1,a1
tear,b2,b2,b2
technical,b1,b1,b1
technique,b1,b1,b1
technology,a2,a2,a2
teenage,a2,a2,a2
teenager,a1,a1,a1
telephone,a1,a1,a1
television,a1,a1,a1
tell,a1,a1,a1
temperature,a2,a2,a2
temporary,b2,b2,b2
ten,a1,a1,a1
tend,b1,b1,b1
tennis,a1,a1,a1
tent,b1,b1,b1
term,a2,a2,a2
terrible,a1,a1,a1
test,a1,a1,a1
text,a1,a1,a1
than,a1,a1,a1
thank,a1,a1,a1
thanks,a1,a1,a1
that,a1,a1,a1
the,a1,a1,a1
theatre,a1,a1,a1
their,a1,a1,a1
theirs,b1,b1,b1
them,a1,a1,a1
theme,b1,b1,b1
themselves,a2,a2,a2
then,a1,a1,a1
theory,b1,b1,b1
therapy,b2,b2,b2
there,a1,a1,a1
therefore,b1,b1,b1
they,a1,a1,a1
thick,a2,a2,a2
thief,a2,a2,a2
thin,a2,a2,a2
thing,a1,a1,a1
think,a1,a1,a1
thinking,a2,a2,a2
third,a1,a1,a1
thirsty,a1,a1,a1
thirteen,a1,a1,a1
thirty,a1,a1,a1
this,a1,a1,a1
though,b1,b1,b1
thought,a2,a2,a2
thousand,a1,a1,a1
threat,b2,b2,b2
threaten,b2,b2,b2
three,a1,a1,a1
throat,b1,b1,b1
through,a1,a1,a1
throughout,b1,b1,b1
throw,a2,a2,a2
thursday,a1,a1,a1
thus,b2,b2,b2
ticket,a1,a1,a1
tidy,a2,a2,a2
tie,a2,a2,a2
tight,b1,b1,b1
till,b1,b1,b1
time,a1,a1,a1
tin,b1,b1,b1
tiny,b1,b1,b1
tip,a2,a2,a2
tired,a1,a1,a1
title,a1,a1,a1
to,a1,a1,a1
today,a1,a1,a1
toe,b1,b1,b1
together,a1,a1,a1
toilet,a1,a1,a1
tomato,a1,a1,a1
tomorrow,a1,a1,a1
tone,b2,b2,b2
tongue,b1,b1,b1
tonight,a1,a1,a1
too,a1,a1,a1
tool,a2,a2,a2
tooth,a1,a1,a1
top,a2,a2,a2
topic,a1,a1,a1
total,b1,b1,b1
totally,b1,b1,b1
touch,a2,a2,a2
tough,b2,b2,b2
tour,a2,a2,a2
tourism,a2,a2,a2
tourist,a1,a1,a1
towards,a2,a2,a2
towel,a2,a2,a2
tower,a2,a2,a2
town,a1,a1,a1
toy,a2,a2,a2
track,a2,a2,a2
trade,b1,b1,b1
tradition,a2,a2,a2
traditional,a2,a2,a2
traffic,a1,a1,a1
train,a1,a1,a1
trainer,a2,a2,a2
training,a2,a2,a2
transfer,b2,b2,b2
transform,b2,b2,b2
transition,b2,b2,b2
translate,b1,b1,b1
translation,b1,b1,b1
transport,a2,a2,a2
travel,a1,a1,a1
traveller,a2,a2,a2
treat,b1,b1,b1
treatment,b1,b1,b1
tree,a1,a1,a1
trend,b1,b1,b1
trial,b2,b2,b2
trick,b1,b1,b1
trip,a1,a1,a1
tropical,b2,b2,b2
trouble,a2,a2,a2
trousers,a1,a1,a1
truck,a2,a2,a2
true,a1,a1,a1
truly,b2,b2,b2
trust,b2,b2,b2
truth,b1,b1,b1
try,a1,a1,a1
tube,b1,b1,b1
tuesday,a1,a1,a1
tune,b2,b2,b2
tunnel,b2,b2,b2
turn,a1,a1,a1
tv,a1,a1,a1
twelve,a1,a1,a1
twenty,a1,a1,a1
twice,a1,a1,a1
twin,a2,a2,a2
two,a1,a1,a1
type,a1,a1,a1
typical,a2,a2,a2
typically,b1,b1,b1
tyre,b1,b1,b1
ugly,b1,b1,b1
ultimately,b2,b2,b2
umbrella,a1,a1,a1
unable,b1,b1,b1
uncle,a1,a1,a1
uncomfortable,b1,b1,b1
unconscious,b2,b2,b2
under,a1,a1,a1
underground,a2,a2,a2
understand,a1,a1,a1
understanding,a2,a2,a2
underwear,b1,b1,b1
unemployed,b1,b1,b1
unemployment,b1,b1,b1
unexpected,b2,b2,b2
unfair,b1,b1,b1
unfortunately,a2,a2,a2
unhappy,a2,a2,a2
uniform,a2,a2,a2
union,b1,b1,b1
unique,b2,b2,b2
unit,a2,a2,a2
united,a2,a2,a2
universe,b2,b2,b2
university,a1,a1,a1
unknown,b2,b2,b2
unless,b1,b1,b1
unlike,b1,b1,b1
unlikely,b1,b1,b1
unnecessary,b1,b1,b1
unpleasant,b1,b1,b1
until,a1,a1,a1
unusual,a2,a2,a2
up,a1,a1,a1
update,b1,b1,b1
upon,b1,b1,b1
upper,b2,b2,b2
upset,b1,b1,b1
upstairs,a1,a1,a1
upwards,b2,b2,b2
urban,b2,b2,b2
urge,b2,b2,b2
us,a1,a1,a1
use,a1,a1,a1
used,b1,b1,b1
used to,a2,a2,a2
useful,a1,a1,a1
user,a2,a2,a2
usual,a2,a2,a2
usually,a1,a1,a1
vacation,a1,a1,a1
valley,a2,a2,a2
valuable,b1,b1,b1
value,b1,b1,b1
van,a2,a2,a2
variety,a2,a2,a2
various,b1,b1,b1
vary,b2,b2,b2
vast,b2,b2,b2
vegetable,a1,a1,a1
vehicle,a2,a2,a2
venue,b2,b2,b2
version,b1,b1,b1
very,a1,a1,a1
via,b2,b2,b2
victim,b1,b1,b1
victory,b2,b2,b2
video,a1,a1,a1
view,a2,a2,a2
viewer,b1,b1,b1
village,a1,a1,a1
violence,b2,b2,b2
violent,b1,b1,b1
virtual,b2,b2,b2
virus,a2,a2,a2
vision,b2,b2,b2
visit,a1,a1,a1
visitor,a1,a1,a1
visual,b2,b2,b2
vital,b2,b2,b2
vitamin,b2,b2,b2
voice,a2,a2,a2
volume,b2,b2,b2
volunteer,b1,b1,b1
vote,b1,b1,b1
wage,b2,b2,b2
wait,a1,a1,a1
waiter,a1,a1,a1
wake,a1,a1,a1
walk,a1,a1,a1
wall,a1,a1,a1
want,a1,a1,a1
war,a2,a2,a2
warm,a1,a1,a1
warn,b1,b1,b1
warning,b1,b1,b1
wash,a1,a1,a1
washing,a2,a2,a2
waste,b1,b1,b1
watch,a1,a1,a1
water,a1,a1,a1
wave,a2,a2,a2
way,a1,a1,a1
we,a1,a1,a1
weak,a2,a2,a2
weakness,b2,b2,b2
wealth,b2,b2,b2
wealthy,b2,b2,b2
weapon,b1,b1,b1
wear,a1,a1,a1
weather,a1,a1,a1
web,a2,a2,a2
website,a1,a1,a1
wedding,a2,a2,a2
wednesday,a1,a1,a1
week,a1,a1,a1
weekend,a1,a1,a1
weigh,b1,b1,b1
weight,a2,a2,a2
welcome,a1,a1,a1
well,a1,a1,a1
west,a1,a1,a1
western,b1,b1,b1
wet,a2,a2,a2
what,a1,a1,a1
whatever,b1,b1,b1
wheel,a2,a2,a2
when,a1,a1,a1
whenever,b1,b1,b1
where,a1,a1,a1
whereas,b2,b2,b2
wherever,b2,b2,b2
whether,b1,b1,b1
which,a1,a1,a1
while,a2,a2,a2
whisper,b2,b2,b2
white,a1,a1,a1
who,a1,a1,a1
whole,a2,a2,a2
whom,b2,b2,b2
whose,a2,a2,a2
why,a1,a1,a1
wide,a2,a2,a2
widely,b2,b2,b2
wife,a1,a1,a1
wild,a2,a2,a2
wildlife,b2,b2,b2
will,a1,a1,a1
willing,b2,b2,b2
win,a1,a1,a1
wind,a2,a2,a2
window,a1,a1,a1
wine,a1,a1,a1
wing,b1,b1,b1
winner,a2,a2,a2
winter,a1,a1,a1
wire,b2,b2,b2
wise,b2,b2,b2
wish,a2,a2,a2
with,a1,a1,a1
within,b1,b1,b1
without,a1,a1,a1
witness,b2,b2,b2
woman,a1,a1,a1
wonder,b1,b1,b1
wonderful,a1,a1,a1
wood,a2,a2,a2
wooden,a2,a2,a2
wool,b1,b1,b1
word,a1,a1,a1
work,a1,a1,a1
worker,a1,a1,a1
working,a2,a2,a2
world,a1,a1,a1
worldwide,b1,b1,b1
worried,a2,a2,a2
worry,a2,a2,a2
worse,a2,a2,a2
worst,a2,a2,a2
worth,b1,b1,b1
would,a1,a1,a1
wound,b2,b2,b2
wow,a2,a2,a2
wrap,b2,b2,b2
write,a1,a1,a1
writer,a1,a1,a1
writing,a1,a1,a1
written,b1,b1,b1
wrong,a1,a1,a1
yard,b1,b1,b1
yeah,a1,a1,a1
year,a1,a1,a1
yellow,a1,a1,a1
yes,a1,a1,a1
yesterday,a1,a1,a1
yet,a2,a2,a2
you,a1,a1,a1
young,a1,a1,a1
your,a1,a1,a1
yours,a2,a2,a2
yourself,a1,a1,a1
youth,b1,b1,b1
zero,a2,a2,a2
zone,b2,b2,b2
