# Source: https://www.oxfordlearnersdictionaries.com/wordlists/oxford3000-5000
# Extracted from the public HTML wordlist page; duplicate parts of speech are deduplicated to the lowest CEFR level.
# Input SHA-256: 74b471082c6b02ce3bf51e662c4b63a86905d1f4e2d6eed0db480b8e705d0b26
word,cefr,oxford3000,oxford5000
evidence,a2,a2,a2
evil,b2,b2,b2
exact,a2,a2,a2
exactly,a2,a2,a2
exam,a1,a1,a1
examination,b2,b2,b2
examine,b1,b1,b1
example,a1,a1,a1
excellent,a2,a2,a2
except,a2,a2,a2
exchange,b1,b1,b1
excited,a1,a1,a1
excitement,b1,b1,b1
exciting,a1,a1,a1
excuse,b2,b2,b2
executive,b2,b2,b2
exercise,a1,a1,a1
exhibition,b1,b1,b1
exist,a2,a2,a2
existence,b2,b2,b2
expand,b1,b1,b1
expect,a2,a2,a2
expectation,b2,b2,b2
expected,b1,b1,b1
expedition,b1,b1,b1
expense,b2,b2,b2
expensive,a1,a1,a1
experience,a2,a2,a2
experienced,b1,b1,b1
experiment,a2,a2,a2
expert,a2,a2,a2
explain,a1,a1,a1
explanation,a2,a2,a2
explode,b1,b1,b1
exploration,b2,b2,b2
explore,b1,b1,b1
explosion,b1,b1,b1
export,b1,b1,b1
expose,b2,b2,b2
express,a2,a2,a2
expression,a2,a2,a2
extend,b2,b2,b2
extent,b2,b2,b2
external,b2,b2,b2
extra,a1,a1,a1
extraordinary,b2,b2,b2
extreme,a2,a2,a2
extremely,a2,a2,a2
eye,a1,a1,a1
face,a1,a1,a1
facility,b2,b2,b2
fact,a1,a1,a1
factor,a2,a2,a2
factory,a2,a2,a2
fail,a2,a2,a2
failure,b2,b2,b2
fair,a2,a2,a2
fairly,b1,b1,b1
faith,b2,b2,b2
fall,a1,a1,a1
false,a1,a1,a1
familiar,b1,b1,b1
family,a1,a1,a1
famous,a1,a1,a1
fan,a2,a2,a2
fancy,b1,b1,b1
fantastic,a1,a1,a1
far,a1,a1,a1
farm,a1,a1,a1
farmer,a1,a1,a1
farming,a2,a2,a2
fascinating,b1,b1,b1
fashion,a2,a2,a2
fashionable,b1,b1,b1
fast,a1,a1,a1
fasten,b1,b1,b1
fat,a1,a1,a1
father,a1,a1,a1
fault,b2,b2,b2
favour,b1,b1,b1
favourite,a1,a1,a1
fear,a2,a2,a2
feather,b2,b2,b2
feature,a2,a2,a2
february,a1,a1,a1
fee,b2,b2,b2
feed,a2,a2,a2
feedback,b2,b2,b2
feel,a1,a1,a1
feeling,a1,a1,a1
fellow,b2,b2,b2
female,a2,a2,a2
fence,b1,b1,b1
festival,a1,a1,a1
few,a1,a1,a1
fiction,a2,a2,a2
field,a2,a2,a2
fifteen,a1,a1,a1
fifth,a1,a1,a1
fifty,a1,a1,a1
fight,a2,a2,a2
fighting,b1,b1,b1
figure,a2,a2,a2
file,b1,b1,b1
fill,a1,a1,a1
film,a1,a1,a1
final,a1,a1,a1
finally,a2,a2,a2
finance,b2,b2,b2
financial,b1,b1,b1
find,a1,a1,a1
finding,b2,b2,b2
fine,a1,a1,a1
finger,a2,a2,a2
finish,a1,a1,a1
fire,a1,a1,a1
firm,b2,b2,b2
first,a1,a1,a1
firstly,a2,a2,a2
fish,a1,a1,a1
fishing,a2,a2,a2
fit,a2,a2,a2
fitness,b1,b1,b1
five,a1,a1,a1
fix,a2,a2,a2
fixed,b1,b1,b1
flag,b1,b1,b1
flame,b2,b2,b2
flash,b2,b2,b2
flat,a1,a1,a1
flexible,b2,b2,b2
flight,a1,a1,a1
float,b2,b2,b2
flood,b1,b1,b1
floor,a1,a1,a1
flour,b1,b1,b1
flow,b1,b1,b1
flower,a1,a1,a1
flu,a2,a2,a2
fly,a1,a1,a1
flying,a2,a2,a2
focus,a2,a2,a2
fold,b1,b1,b1
folding,b2,b2,b2
folk,b1,b1,b1
follow,a1,a1,a1
following,a2,a2,a2
food,a1,a1,a1
foot,a1,a1,a1
football,a1,a1,a1
for,a1,a1,a1
force,b1,b1,b1
foreign,a2,a2,a2
forest,a2,a2,a2
forever,b1,b1,b1
forget,a1,a1,a1
forgive,b2,b2,b2
fork,a2,a2,a2
form,a1,a1,a1
formal,a2,a2,a2
former,b2,b2,b2
fortunately,a2,a2,a2
fortune,b2,b2,b2
forty,a1,a1,a1
forward,a2,a2,a2
found,b2,b2,b2
four,a1,a1,a1
fourteen,a1,a1,a1
fourth,a1,a1,a1
frame,b1,b1,b1
free,a1,a1,a1
freedom,b2,b2,b2
freeze,b1,b1,b1
frequency,b2,b2,b2
